ssm-incidents, AWS Systems Manager Incident Manager
ssm-sap, AWS Systems Manager for SAP
sso, AWS IAM Identity Center (successor to AWS Single Sign-On)
states, AWS Step Functions
storagegateway, AWS Storage Gateway
swf, Amazon Simple Workflow Service
textract, Amazon Textract
transcribe, Amazon Transcribe
transfer, AWS Transfer Family
translate, Amazon Translate
verifiedpermissions, Amazon Verified Permissions
vmimportexport, EC2 VM Import/Export
voiceid, Amazon Connect Voice ID
vpc, Amazon Virtual Private Cloud (Amazon VPC)
vpc-lattice, VPC Lattice
waf-regional, AWS WAF Classic (Regional)
wafv2, AWS WAF
wam, Amazon WorkSpaces Application Manager
wellarchitected, AWS Well-Architected Tool
workspaces, Amazon WorkSpaces
workspaces-web, Amazon WorkSpaces Web
xray, AWS X-Ray
